Teams,Wins,Losses,Ties
Arizona Cardinals,581,785,41
Atlanta Falcons,381,491,6
Baltimore Ravens,241,187,1
Buffalo Bills,458,495,8
Carolina Panthers,209,235,1
Chicago Bears,786,620,42
Cincinnati Bengals,381,463,5
Cleveland Browns,546,525,14
Dallas Cowboys,547,406,6
Denver Broncos,498,453,10
Detroit Lions,575,701,34
Green Bay Packers,787,589,38
Houston Texans,140,192,1
Indianapolis Colts,547,489,8
Jacksonville Jaguars,184,261,0
Kansas City Chiefs,516,433,12
Las Vegas Raiders,496,455,11
Los Angeles Chargers,474,476,11
Los Angeles Rams,603,589,21
Miami Dolphins,484,389,4
Minnesota Vikings,513,423,11
New England Patriots,535,417,9
New Orleans Saints,400,459,5
New York Giants,713,635,34
New York Jets,421,532,8
Philadelphia Eagles,610,628,27
Pittsburgh Steelers,657,570,22
San Francisco 49ers,607,510,16
Seattle Seahawks,381,355,1
Tampa Bay Buccaneers,297,439,1
Tennessee Titans,470,485,6
Washington Commanders,624,627,29
