,Teams,Wins,Losses,Ties,Rank
11,Green Bay Packers,787,589,38,1
5,Chicago Bears,786,620,42,2
23,New York Giants,713,635,34,3
26,Pittsburgh Steelers,657,570,22,4
31,Washington Commanders,624,627,29,5
25,Philadelphia Eagles,610,628,27,6
27,San Francisco 49ers,607,510,16,7
18,Los Angeles Rams,603,589,21,8
0,Arizona Cardinals,581,785,41,9
10,Detroit Lions,575,701,34,10
13,Indianapolis Colts,547,489,8,17
8,Dallas Cowboys,547,406,6,18
7,Cleveland Browns,546,525,14,11
21,New England Patriots,535,417,9,19
15,Kansas City Chiefs,516,433,12,12
20,Minnesota Vikings,513,423,11,13
9,Denver Broncos,498,453,10,14
16,Las Vegas Raiders,496,455,11,15
19,Miami Dolphins,484,389,4,20
17,Los Angeles Chargers,474,476,11,16
30,Tennessee Titans,470,485,6,21
3,Buffalo Bills,458,495,8,22
24,New York Jets,421,532,8,23
22,New Orleans Saints,400,459,5,24
1,Atlanta Falcons,381,491,6,25
6,Cincinnati Bengals,381,463,5,26
28,Seattle Seahawks,381,355,1,27
29,Tampa Bay Buccaneers,297,439,1,28
2,Baltimore Ravens,241,187,1,29
4,Carolina Panthers,209,235,1,30
14,Jacksonville Jaguars,184,261,0,31
12,Houston Texans,140,192,1,32
