Teams,Wins,Losses,Ties
Arizona Cardinals,581,785,41
Chicago Cardinals,99,141,21
Chi/Pit Cards/Steelers,0,10,0
Chicago Cardinals,66,107,4
St. Louis Cardinals,186,202,14
Phoenix Cardinals,32,64,0
Arizona Cardinals,198,261,2
Atlanta Falcons,381,490,6
Baltimore Ravens,240,187,1
Buffalo Bills,458,495,8
Carolina Panthers,209,235,1
Chicago Bears,786,619,42
Decatur Staleys,10,1,2
Chicago Staleys,9,1,1
Chicago Bears,767,617,39
Cincinnati Bengals,380,463,5
Cleveland Browns,545,525,14
Dallas Cowboys,546,406,6
Denver Broncos,498,452,10
Detroit Lions,574,701,34
Portsmouth Spartans,28,16,7
Detroit Lions,546,685,27
Green Bay Packers,786,589,38
Houston Texans,140,191,1
Indianapolis Colts,547,488,8
Baltimore Colts,222,194,7
Indianapolis Colts,325,294,1
Jacksonville Jaguars,184,260,0
Kansas City Chiefs,516,432,12
Dallas Texans,25,17,0
Kansas City Chiefs,491,415,12
Las Vegas Raiders,495,454,11
Oakland Raiders,195,110,11
Los Angeles Raiders,118,82,0
Oakland Raiders,160,240,0
Las Vegas Raiders,22,22,0
Los Angeles Chargers,474,475,11
Los Angeles Chargers,10,4,0
San Diego Chargers,416,427,11
Los Angeles Chargers,48,44,0
Los Angeles Rams,602,588,21
Cleveland Rams,34,50,2
Los Angeles Rams,364,299,18
St. Louis Rams,142,193,1
Los Angeles Rams,62,46,0
Miami Dolphins,484,388,4
Minnesota Vikings,512,423,11
New England Patriots,535,417,9
Boston Patriots,65,80,9
New England Patriots,470,337,0
New Orleans Saints,400,458,5
New York Giants,713,635,33
New York Jets,421,531,8
New York Titans,19,23,0
New York Jets,402,508,8
Philadelphia Eagles,609,628,27
Philadelphia Eagles,23,82,4
Phi/Pit Eagles/Steelers,5,4,1
Philadelphia Eagles,581,542,22
Pittsburgh Steelers,656,570,22
Pittsburgh Pirates,22,55,3
Pittsburgh Steelers,10,20,3
Phi/Pit Eagles/Steelers*,5,4,1
Chi/Pit Cards/Steelers*,0,10,0
Pittsburgh Steelers,624,495,16
San Francisco 49ers,606,510,16
Seattle Seahawks,380,355,1
Tampa Bay Buccaneers,296,439,1
Tennessee Titans,470,484,6
Houston Oilers,251,291,6
Tennessee Oilers,16,16,0
Tennessee Titans,203,177,0
Washington Commanders,624,627,28
Boston Braves,4,4,2
Boston Redskins,20,24,3
Washington Redskins,579,575,23
Washington Football Team,14,19,0
Washington Commanders,7,5,0
